Mario,Rossi,Milano,33498756,via roma 34,Gatto,Luna,345432,01/03/2023,50
Mario,Rossi,Milano,33498756,via roma 34,Criceto,Billy,455555,03/01/2022,20
Mario,Rossi,Milano,33498756,via roma 34,Cane,Pluto,456666,04/01/2022,100
Francesco,Bianchi,Roma,33500099,via milano 55,Gatto,,233344,05/01/2022,45
Francesco,Bianchi,Roma,33500099,via milano 55,Pesce,,233345,06/01/2022,10
Pietro,Verdi,Torino,33356777,via cantore 3,Criceto,,356777,07/01/2022,15
Giorgio,Rossi,Bari,33467788,Piazza Italia  4,Gatto,Stella,546777,08/01/2022,65
Giorgio,Rossi,Bari,33467789,Piazza Italia  4,Gatto,Luna,345439,19/01/2022,50
Marco,Rossi,Milano,33498756,via roma 34,Gatto,Garfield,564234,15/02/2023,35
Marco,Rossi,Milano,33498756,via roma 34,Cane,Buddy,678912,10/03/2023,2
Marco,Rossi,Milano,33498756,via roma 34,Pappagallo,Coco,789123,20/05/2023,1
Francesco,Bianchi,Roma,33500099,via milano 55,Cane,Rex,234567,02/06/2023,4
Francesco,Bianchi,Roma,33500099,via milano 55,Cane,Toby,345678,15/06/2023,6
Pietro,Verdi,Torino,33356777,via cantore 3,Cane,Rocky,567890,30/06/2023,3
Pietro,Verdi,Torino,33356777,via cantore 3,Pappagallo,Tweety,678901,05/07/2023,2
Giorgio,Rossi,Bari,33467788,Piazza Italia  4,Cane,Spike,890123,10/07/2023,8
Giorgio,Rossi,Bari,33467789,Piazza Italia  4,Cane,Bella,901234,25/07/2023,1
Luca,Verdi,Firenze,33344555,Corso Italia 10,Gatto,Whiskers,456789,15/08/2023,12
Luca,Verdi,Firenze,33344555,Corso Italia 10,Pesce,Nemo,567890,30/08/2023,0.5
Laura,Neri,Napoli,33887766,Via Vesuvio 20,Gatto,Misty,678901,05/09/2023,9
Laura,Neri,Napoli,33887766,Via Vesuvio 20,Pesce,Bubbles,789012,10/09/2023,0.8
Roberto,Marrone,Palermo,33998877,Via Sicilia 5,Cane,Max,901234,20/09/2023,3
Roberto,Marrone,Palermo,33998877,Via Sicilia 5,Cane,Lulu,123456,05/10/2023,7
Sara,Rossi,Genova,33221100,Via Acquario 1,Gatto,Oliver,234567,15/10/2023,5
Sara,Rossi,Genova,33221100,Via Acquario 1,Gatto,Simba,345678,30/10/2023,1
Chiara,Russo,Torino,33443322,Via Monti 3,Gatto,Nala,456789,05/11/2023,6
Chiara,Russo,Torino,33443322,Via Monti 3,Pesce,Dory,567890,20/11/2023,0.7
Alessio,Esposito,Milano,33665577,Corso Vittorio 5,Cane,Charlie,678901,05/12/2023,2
Alessio,Esposito,Milano,33665577,Corso Vittorio 5,Cane,Rocky,789012,10/12/2023,1
Valentina,Colombo,Roma,33557788,Via dei Fori 10,Gatto,Whiskers,890123,20/12/2023,7
Valentina,Colombo,Roma,33557788,Via dei Fori 10,Gatto,Luna,901234,25/12/2023,2
Federico,Marini,Firenze,33388866,Corso Vecchio 2,Gatto,Max,234567,05/01/2024,9
Federico,Marini,Firenze,33388866,Corso Vecchio 2,Pesce,Bubbles,345678,10/01/2024,1
Elisa,Barbieri,Napoli,33887744,Via Vesuvio 5,Cane,Rocky,456789,15/01/2024,4
Elisa,Barbieri,Napoli,33887744,Via Vesuvio 5,Cane,Bella,567890,20/01/2024,2
